"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Relative Threshold","Heat Metric"
"01","Alabama","01001","Autauga","1979","0","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1980","24","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1981","16","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1982","0","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1983","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1984","0","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1985","4","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1986","13","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1987","11","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1988","3","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1989","0","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1990","13","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1991","0","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1992","3","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1993","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1994","0","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1995","12","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1996","0","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1997","3","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1998","14","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","1999","13","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2000","45","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2001","0","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2002","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2003","0","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2004","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2005","4","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2006","28","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2007","47","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2008","11","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2009","58","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2010","36","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2011","79","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2012","39","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2013","4","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2014","41","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2015","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2016","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2017","1","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2018","4","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2019","37","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2020","23","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01001","Autauga","2021","7","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1979","1","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1980","23","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1981","15","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1982","8","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1983","3","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1984","1","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1985","3","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1986","14","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1987","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1988","1","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1989","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1990","15","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1991","2","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1992","8","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1993","12","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1994","0","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1995","14","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1996","3","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1997","3","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"01","Alabama","01003","Baldwin","1998","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
