"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2000","10","",
"01","Alabama","2001","Suppressed","",
"01","Alabama","2002","Suppressed","",
"01","Alabama","2003","Suppressed","",
"01","Alabama","2004","Suppressed","",
"01","Alabama","2005","Suppressed","",
"01","Alabama","2006","Suppressed","",
"01","Alabama","2007","17","",
"01","Alabama","2008","Suppressed","",
"01","Alabama","2009","Suppressed","",
"01","Alabama","2010","12","",
"01","Alabama","2011","12","",
"01","Alabama","2012","13","",
"01","Alabama","2013","Suppressed","",
"01","Alabama","2014","Suppressed","",
"01","Alabama","2015","Suppressed","",
"01","Alabama","2016","12","",
"01","Alabama","2017","13","",
"01","Alabama","2018","16","",
"01","Alabama","2019","20","",
"01","Alabama","2020","15","",
"02","Alaska","2000","Suppressed","",
"02","Alaska","2001","Suppressed","",
"02","Alaska","2002","Suppressed","",
"02","Alaska","2003","Suppressed","",
"02","Alaska","2004","Suppressed","",
"02","Alaska","2005","Suppressed","",
"02","Alaska","2006","Suppressed","",
"02","Alaska","2007","Suppressed","",
"02","Alaska","2008","Suppressed","",
"02","Alaska","2009","Suppressed","",
"02","Alaska","2010","Suppressed","",
"02","Alaska","2011","Suppressed","",
"02","Alaska","2012","Suppressed","",
"02","Alaska","2013","Suppressed","",
"02","Alaska","2014","Suppressed","",
"02","Alaska","2015","Suppressed","",
"02","Alaska","2016","Suppressed","",
"02","Alaska","2017","Suppressed","",
"02","Alaska","2018","Suppressed","",
"02","Alaska","2019","Suppressed","",
"02","Alaska","2020","Suppressed","",
"04","Arizona","2000","37","",
"04","Arizona","2001","30","",
"04","Arizona","2002","43","",
"04","Arizona","2003","56","",
"04","Arizona","2004","42","",
"04","Arizona","2005","82","",
"04","Arizona","2006","113","",
"04","Arizona","2007","50","",
"04","Arizona","2008","50","",
"04","Arizona","2009","90","",
"04","Arizona","2010","97","",
"04","Arizona","2011","117","",
"04","Arizona","2012","109","",
"04","Arizona","2013","92","",
"04","Arizona","2014","69","",
"04","Arizona","2015","93","",
"04","Arizona","2016","177","",
"04","Arizona","2017","221","",
"04","Arizona","2018","187","",
"04","Arizona","2019","212","",
"04","Arizona","2020","373","",
"05","Arkansas","2000","12","",
"05","Arkansas","2001","Suppressed","",
"05","Arkansas","2002","Suppressed","",
"05","Arkansas","2003","Suppressed","",
"05","Arkansas","2004","Suppressed","",
"05","Arkansas","2005","12","",
"05","Arkansas","2006","10","",
"05","Arkansas","2007","12","",
"05","Arkansas","2008","Suppressed","",
"05","Arkansas","2009","Suppressed","",
"05","Arkansas","2010","23","",
"05","Arkansas","2011","24","",
"05","Arkansas","2012","17","",
"05","Arkansas","2013","Suppressed","",
"05","Arkansas","2014","Suppressed","",
"05","Arkansas","2015","19","",
"05","Arkansas","2016","Suppressed","",
"05","Arkansas","2017","12","",
"05","Arkansas","2018","12","",
"05","Arkansas","2019","15","",
"05","Arkansas","2020","13","",
"06","California","2000","41","",
"06","California","2001","25","",
"06","California","2002","43","",
"06","California","2003","38","",
"06","California","2004","33","",
"06","California","2005","62","",
"06","California","2006","188","",
"06","California","2007","67","",
"06","California","2008","42","",
"06","California","2009","54","",
"06","California","2010","39","",
"06","California","2011","26","",
"06","California","2012","61","",
"06","California","2013","66","",
"06","California","2014","47","",
"06","California","2015","49","",
"06","California","2016","67","",
"06","California","2017","98","",
"06","California","2018","98","",
"06","California","2019","57","",
"06","California","2020","128","",
"08","Colorado","2000","Suppressed","",
"08","Colorado","2001","Suppressed","",
"08","Colorado","2002","Suppressed","",
"08","Colorado","2003","Suppressed","",
"08","Colorado","2004","Suppressed","",
"08","Colorado","2005","Suppressed","",
"08","Colorado","2006","Suppressed","",
"08","Colorado","2007","Suppressed","",
"08","Colorado","2008","Suppressed","",
"08","Colorado","2009","Suppressed","",
"08","Colorado","2010","Suppressed","",
"08","Colorado","2011","Suppressed","",
"08","Colorado","2012","Suppressed","",
"08","Colorado","2013","Suppressed","",
"08","Colorado","2014","Suppressed","",
"08","Colorado","2015","Suppressed","",
"08","Colorado","2016","Suppressed","",
"08","Colorado","2017","Suppressed","",
"08","Colorado","2018","Suppressed","",
"08","Colorado","2019","Suppressed","",
"08","Colorado","2020","11","",
"09","Connecticut","2000","Suppressed","",
"09","Connecticut","2001","Suppressed","",
"09","Connecticut","2002","Suppressed","",
"09","Connecticut","2003","Suppressed","",
"09","Connecticut","2004","Suppressed","",
"09","Connecticut","2005","Suppressed","",
"09","Connecticut","2006","Suppressed","",
"09","Connecticut","2007","Suppressed","",
"09","Connecticut","2008","Suppressed","",
"09","Connecticut","2009","Suppressed","",
"09","Connecticut","2010","Suppressed","",
"09","Connecticut","2011","Suppressed","",
"09","Connecticut","2012","Suppressed","",
"09","Connecticut","2013","Suppressed","",
"09","Connecticut","2014","Suppressed","",
"09","Connecticut","2015","Suppressed","",
"09","Connecticut","2016","Suppressed","",
"09","Connecticut","2017","Suppressed","",
"09","Connecticut","2018","Suppressed","",
"09","Connecticut","2019","Suppressed","",
"09","Connecticut","2020","Suppressed","",
"10","Delaware","2000","Suppressed","",
"10","Delaware","2001","Suppressed","",
"10","Delaware","2002","Suppressed","",
"10","Delaware","2003","Suppressed","",
"10","Delaware","2004","Suppressed","",
"10","Delaware","2005","Suppressed","",
"10","Delaware","2006","Suppressed","",
"10","Delaware","2007","Suppressed","",
"10","Delaware","2008","Suppressed","",
"10","Delaware","2009","Suppressed","",
"10","Delaware","2010","Suppressed","",
"10","Delaware","2011","Suppressed","",
"10","Delaware","2012","Suppressed","",
"10","Delaware","2013","Suppressed","",
"10","Delaware","2014","Suppressed","",
"10","Delaware","2015","Suppressed","",
"10","Delaware","2016","Suppressed","",
"10","Delaware","2017","Suppressed","",
"10","Delaware","2018","Suppressed","",
"10","Delaware","2019","Suppressed","",
"10","Delaware","2020","Suppressed","",
"11","District of Columbia","2000","Suppressed","",
"11","District of Columbia","2001","Suppressed","",
"11","District of Columbia","2002","Suppressed","",
"11","District of Columbia","2003","Suppressed","",
"11","District of Columbia","2004","Suppressed","",
"11","District of Columbia","2005","Suppressed","",
"11","District of Columbia","2006","Suppressed","",
"11","District of Columbia","2007","Suppressed","",
"11","District of Columbia","2008","Suppressed","",
"11","District of Columbia","2009","Suppressed","",
"11","District of Columbia","2010","Suppressed","",
"11","District of Columbia","2011","13","",
"11","District of Columbia","2012","Suppressed","",
"11","District of Columbia","2013","Suppressed","",
"11","District of Columbia","2014","Suppressed","",
"11","District of Columbia","2015","Suppressed","",
"11","District of Columbia","2016","Suppressed","",
"11","District of Columbia","2017","Suppressed","",
"11","District of Columbia","2018","Suppressed","",
"11","District of Columbia","2019","Suppressed","",
"11","District of Columbia","2020","Suppressed","",
"12","Florida","2000","Suppressed","",
"12","Florida","2001","19","",
"12","Florida","2002","14","",
"12","Florida","2003","16","",
"12","Florida","2004","25","",
"12","Florida","2005","20","",
"12","Florida","2006","26","",
"12","Florida","2007","14","",
"12","Florida","2008","16","",
"12","Florida","2009","32","",
"12","Florida","2010","23","",
"12","Florida","2011","16","",
"12","Florida","2012","17","",
"12","Florida","2013","16","",
"12","Florida","2014","18","",
"12","Florida","2015","18","",
"12","Florida","2016","29","",
"12","Florida","2017","42","",
"12","Florida","2018","15","",
"12","Florida","2019","27","",
"12","Florida","2020","41","",
"13","Georgia","2000","Suppressed","",
"13","Georgia","2001","Suppressed","",
"13","Georgia","2002","Suppressed","",
"13","Georgia","2003","Suppressed","",
"13","Georgia","2004","Suppressed","",
"13","Georgia","2005","15","",
"13","Georgia","2006","10","",
"13","Georgia","2007","20","",
"13","Georgia","2008","Suppressed","",
"13","Georgia","2009","16","",
"13","Georgia","2010","26","",
"13","Georgia","2011","12","",
"13","Georgia","2012","12","",
"13","Georgia","2013","Suppressed","",
"13","Georgia","2014","10","",
"13","Georgia","2015","11","",
"13","Georgia","2016","13","",
"13","Georgia","2017","13","",
"13","Georgia","2018","Suppressed","",
"13","Georgia","2019","18","",
"13","Georgia","2020","20","",
"15","Hawaii","2000","Suppressed","",
"15","Hawaii","2001","Suppressed","",
"15","Hawaii","2002","Suppressed","",
"15","Hawaii","2003","Suppressed","",
"15","Hawaii","2004","Suppressed","",
"15","Hawaii","2005","Suppressed","",
"15","Hawaii","2006","Suppressed","",
"15","Hawaii","2007","Suppressed","",
"15","Hawaii","2008","Suppressed","",
"15","Hawaii","2009","Suppressed","",
"15","Hawaii","2010","Suppressed","",
"15","Hawaii","2011","Suppressed","",
"15","Hawaii","2012","Suppressed","",
"15","Hawaii","2013","Suppressed","",
"15","Hawaii","2014","Suppressed","",
"15","Hawaii","2015","Suppressed","",
"15","Hawaii","2016","Suppressed","",
"15","Hawaii","2017","Suppressed","",
"15","Hawaii","2018","Suppressed","",
"15","Hawaii","2019","Suppressed","",
"15","Hawaii","2020","Suppressed","",
"16","Idaho","2000","Suppressed","",
"16","Idaho","2001","Suppressed","",
"16","Idaho","2002","Suppressed","",
"16","Idaho","2003","Suppressed","",
"16","Idaho","2004","Suppressed","",
"16","Idaho","2005","Suppressed","",
"16","Idaho","2006","Suppressed","",
"16","Idaho","2007","Suppressed","",
"16","Idaho","2008","Suppressed","",
"16","Idaho","2009","Suppressed","",
"16","Idaho","2010","Suppressed","",
"16","Idaho","2011","Suppressed","",
"16","Idaho","2012","Suppressed","",
"16","Idaho","2013","Suppressed","",
"16","Idaho","2014","Suppressed","",
"16","Idaho","2015","Suppressed","",
"16","Idaho","2016","Suppressed","",
"16","Idaho","2017","Suppressed","",
"16","Idaho","2018","Suppressed","",
"16","Idaho","2019","Suppressed","",
"16","Idaho","2020","Suppressed","",
"17","Illinois","2000","10","",
"17","Illinois","2001","38","",
"17","Illinois","2002","50","",
"17","Illinois","2003","13","",
"17","Illinois","2004","Suppressed","",
"17","Illinois","2005","13","",
"17","Illinois","2006","49","",
"17","Illinois","2007","16","",
"17","Illinois","2008","Suppressed","",
"17","Illinois","2009","19","",
"17","Illinois","2010","14","",
"17","Illinois","2011","50","",
"17","Illinois","2012","56","",
"17","Illinois","2013","23","",
"17","Illinois","2014","Suppressed","",
"17","Illinois","2015","12","",
"17","Illinois","2016","13","",
"17","Illinois","2017","12","",
"17","Illinois","2018","15","",
"17","Illinois","2019","16","",
"17","Illinois","2020","Suppressed","",
"18","Indiana","2000","Suppressed","",
"18","Indiana","2001","Suppressed","",
"18","Indiana","2002","Suppressed","",
"18","Indiana","2003","Suppressed","",
"18","Indiana","2004","Suppressed","",
"18","Indiana","2005","Suppressed","",
"18","Indiana","2006","11","",
"18","Indiana","2007","Suppressed","",
"18","Indiana","2008","Suppressed","",
"18","Indiana","2009","Suppressed","",
