ÀÏ½Ã,ÁöÁ¡,Æø¿°¿©ºÎ(O/X),ÃÖ°íÃ¼°¨¿Âµµ(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),Æø¿°Æ¯º¸(O/X),Æø¿°¿µÇâ¿¹º¸(´Ü°è),¿­´ë¾ß(O/X),ÀÚ¿Ü¼±Áö¼ö(´Ü°è)
2020-07-01,ºÏ°­¸ª(104),X,24.9,23.7,18.8,16,81.4,X, ,X,º¸Åë
2020-07-01,µ¿ÇØ(106),X,23.8,22.1,18.3,15.8,80.8,X, ,X,³·À½
2020-07-01,¼­¿ï(108),X,25.9,24.3,21.1,18.1,79.3,X, ,X,³ôÀ½
2020-07-01,ÀÎÃµ(112),X,24.8,23.1,20.6,18.5,84.6,X, ,X,³ôÀ½
2020-07-01,¿øÁÖ(114),X,24.3,23.1,19.5,17.1,78.3,X, ,X,³·À½
2020-07-01,¿ï¸ªµµ(115),X,22.8,19.3,16.8,16,93.3,X, ,X,³·À½
2020-07-01,¼ö¿ø(119),X,26.4,24.6,20.8,17.5,86.6,X, ,X,³·À½
2020-07-01,¿µ¿ù(121),X,24.9,23.2,19,16.3,86.4,X, ,X,³·À½
2020-07-01,ÃæÁÖ(127),X,24.4,22.4,18.9,16.7,87.9,X, ,X,³·À½
2020-07-01,¼­»ê(129),X,26.1,24.5,20.7,17.1,86,X, ,X,º¸Åë
2020-07-01,¿ïÁø(130),X,24.8,23.4,19,16.5,83.6,X, ,X,³·À½
2020-07-01,Ã»ÁÖ(131),X,25.9,24.7,21.3,17.7,77.3,X, ,X,³ôÀ½
2020-07-01,´ëÀü(133),X,26.4,24.3,20.9,17.3,84.1,X, ,X,¸Å¿ì³ôÀ½
2020-07-01,ÃßÇ³·É(135),X,24.9,23.6,19.2,16.2,79.5,X, ,X,³·À½
2020-07-01,¾Èµ¿(136),X,24.8,23.1,19.9,17,81.6,X, ,X,¸Å¿ì³ôÀ½
2020-07-01,»óÁÖ(137),X,26.7,24.9,20.4,17.5,85.4,X, ,X,³·À½
2020-07-01,Æ÷Ç×(138),X,26.2,24.9,20.9,19,82.8,X, ,X,³·À½
2020-07-01,±º»ê(140),X,26.6,25.1,21.2,17.7,78.4,X, ,X,³·À½
2020-07-01,´ë±¸(143),X,26.5,26.3,22.2,19.1,69.1,X, ,X,¸Å¿ì³ôÀ½
2020-07-01,ÀüÁÖ(146),X,26.9,25.8,21.1,17.7,75.4,X, ,X,¸Å¿ì³ôÀ½
2020-07-01,¿ï»ê(152),X,27,25.6,20.4,17.9,90.3,X, ,X,³ôÀ½
2020-07-01,Ã¢¿ø(155),X,27.6,27,22,18.8,71.3,X, ,X,¸Å¿ì³ôÀ½
2020-07-01,±¤ÁÖ(156),X,28.3,27.9,22.1,17.8,75.6,X, ,X,¸Å¿ì³ôÀ½
2020-07-01,ºÎ»ê(159),X,26,24.3,20.8,19.1,81.1,X, ,X,¸Å¿ì³ôÀ½
2020-07-01,Åë¿µ(162),X,27,26.3,21.7,19.2,78.3,X, ,X,³·À½
2020-07-01,¸ñÆ÷(165),X,27,25.7,21.8,18.9,77,X, ,X,¸Å¿ì³ôÀ½
2020-07-01,¿©¼ö(168),X,26.8,26.3,22.6,19.8,71.4,X, ,X,³·À½
2020-07-01,Èæ»êµµ(169),X,26.2,24,20.7,17.8,85.4,X, ,X,³·À½
2020-07-01,¿Ïµµ(170),X,29.2,28.5,23.1,18.9,70.9,X, ,X,³·À½
2020-07-01,°íÃ¢(172),X,27.5,26.7,21.2,18.2,80.3,X, ,X,³·À½
2020-07-01,Á¦ÁÖ(184),X,27.3,26.8,22.6,19.7,73.1,X, ,X,¸Å¿ì³ôÀ½
2020-07-01,ÁøÁÖ(192),X,27.9,27.5,22.3,18.6,77.4,X, ,X,³·À½
2020-07-01,¾çÆò(202),X,24.8,22.9,20,17.5,84.8,X, ,X,³·À½
2020-07-01,ÀÌÃµ(203),X,25.4,23,19.8,17,91.5,X, ,X,³·À½
2020-07-01,ÀÎÁ¦(211),X,26.1,25.6,19.1,15.9,83.8,X, ,X,³·À½
2020-07-01,È«Ãµ(212),X,25.7,24.5,19.5,16.3,83.6,X, ,X,³·À½
2020-07-01,ÅÂ¹é(216),X,22.4,21.1,15.9,12.6,84.9,X, ,X,³·À½
2020-07-01,Á¤¼±±º(217),X,25,23.2,18.2,15.6,90.3,X, ,X,³·À½
2020-07-01,Á¦Ãµ(221),X,24.4,22.4,18.2,15.1,87.4,X, ,X,³·À½
2020-07-01,º¸Àº(226),X,26.1,24.6,20.6,17,79.5,X, ,X,³·À½
2020-07-01,Ãµ¾È(232),X,26,24.2,19.9,16.7,91.9,X, ,X,³·À½
2020-07-01,º¸·É(235),X,25.4,23.3,20.6,17.4,86.3,X, ,X,³·À½
2020-07-01,ºÎ¿©(236),X,26.7,26.1,21,17.1,81,X, ,X,³·À½
2020-07-01,±Ý»ê(238),X,26.1,24.8,20.3,16.9,81.5,X, ,X,³·À½
2020-07-01,¼¼Á¾(239),X,26.3,25.4,20.8,17.1,78.4,X, ,X,¸Å¿ì³ôÀ½
2020-07-01,ºÎ¾È(243),X,26.8,25.5,21.3,18.3,79.5,X, ,X,³·À½
2020-07-01,ÀÓ½Ç(244),X,25.9,24.9,20.1,16.5,79.9,X, ,X,³·À½
2020-07-01,Á¤À¾(245),X,26.7,26,20.9,17.4,75.3,X, ,X,³·À½
2020-07-01,³²¿ø(247),X,27.2,26.6,21.2,17.4,77.1,X, ,X,³·À½
2020-07-01,Àå¼ö(248),X,24.8,23.2,18.8,15.6,86.8,X, ,X,³·À½
2020-07-01,¿µ±¤±º(252),X,26.9,26.6,21.4,17.4,75.5,X, ,X,³·À½
2020-07-01,±èÇØ½Ã(253),X,27.7,26.2,21.6,19.5,80.1,X, ,X,³·À½
2020-07-01,¼øÃ¢±º(254),X,27.2,26.7,20.9,17.1,78,X, ,X,³·À½
2020-07-01,¾ç»ê½Ã(257),X,28.2,27.6,22.7,20,76,X, ,X,³·À½
2020-07-01,°­Áø±º(259),X,28.9,28.4,22.6,19,69.5,X, ,X,³·À½
2020-07-01,ÀåÈï(260),X,28.2,27.9,22.4,18.6,71.4,X, ,X,³·À½
2020-07-01,ÇØ³²(261),X,28.5,27.7,21.9,18.1,76.4,X, ,X,³·À½
2020-07-01,°íÈï(262),X,28.7,28.2,22.2,18.2,72.8,X, ,X,³·À½
2020-07-01,ÀÇ·É±º(263),X,29.1,28.8,23.2,19.4,71.5,X, ,X,³·À½
2020-07-01,ÇÔ¾ç±º(264),X,26.3,25.3,21.3,16.6,69.5,X, ,X,³·À½
2020-07-01,Áøµµ±ºASOS(268),X,,,,,79.3,X, ,X,³·À½
2020-07-01,ºÀÈ­(271),X,24.4,22.9,17.7,14.7,90,X, ,X,³·À½
2020-07-01,¿µÁÖ(272),X,23.7,21.8,18.8,15.3,82.8,X, ,X,³·À½
2020-07-01,¹®°æ(273),X,26.2,25,19.5,16.5,84,X, ,X,³·À½
2020-07-01,Ã»¼Û±º(276),X,26.5,24.7,19.3,15.6,90,X, ,X,³·À½
2020-07-01,¿µ´ö(277),X,25,23.2,19,16.2,84.8,X, ,X,³·À½
2020-07-01,ÀÇ¼º(278),X,25.9,24.5,20.3,17.1,83.6,X, ,X,³·À½
2020-07-01,±¸¹Ì(279),X,27.6,26,21.3,18.2,87.9,X, ,X,³·À½
2020-07-01,¿µÃµ(281),X,26.7,25.8,21,17.6,80,X, ,X,³·À½
2020-07-01,°æÁÖ½Ã(283),X,27.8,27.1,21.5,18.1,81,X, ,X,³·À½
2020-07-01,°ÅÃ¢(284),X,26.8,26.1,21,16.3,75.8,X, ,X,³·À½
2020-07-01,ÇÕÃµ(285),X,28.1,27.4,22,18.8,79.5,X, ,X,³·À½
2020-07-01,¹Ð¾ç(288),X,27.3,27,22.9,19.7,68.9,X, ,X,³·À½
2020-07-01,»êÃ»(289),X,27.7,27,22.1,17.6,71.5,X, ,X,³·À½
2020-07-01,°ÅÁ¦(294),X,27.6,27,21.6,18.4,73.9,X, ,X,³·À½
2020-07-01,³²ÇØ(295),X,28,27.2,22.5,19,72,X, ,X,³·À½
2020-07-01,ºÎÃµ(433),X,,24.3,20.5,17.5,,X, ,X,³·À½
2020-07-01,¾È¾ç(434),X,,23.8,21.2,18.7,,X, ,X,³·À½
2020-07-01,±¤¸í(437),X,,24.6,21.5,18.9,,X, ,X,³·À½
2020-07-01,±ºÆ÷(438),X,,24.5,20.9,18.3,,X, ,X,³·À½
2020-07-01,±èÆ÷(441),X,,24.8,20.6,17.7,,X, ,X,³·À½
2020-07-01,ÇÏ³²(444),X,,23.4,19.6,16.4,,X, ,X,³·À½
2020-07-01,ÀÇ¿Õ(445),X,,22.6,19,15.6,,X, ,X,³·À½
2020-07-01,Æ÷Ãµ(504),X,26.1,24.8,19.6,16.1,81,X, ,X,³·À½
2020-07-01,°¡ÆòÁ¶Á¾(505),X,26,24.5,18.9,15.8,89,X, ,X,³·À½
2020-07-01,¾È¼º(516),X,26.3,24.3,20.1,16.8,89,X, ,X,³·À½
2020-07-01,°£¼º(517),X,26.6,25,19.3,16.2,89,X, ,X,³·À½
2020-07-01,ÆòÃ¢(526),X,24.8,23.5,18.5,15.9,82,X, ,X,³·À½
2020-07-01,ÀÇÁ¤ºÎ(532),X,26.9,24.3,19.9,16.5,92,X, ,X,³·À½
2020-07-01,È¾¼º(536),X,25.8,23.7,18.5,16.3,92,X, ,X,³·À½
