"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Relative Threshold","Heat Metric"
"36","New York","36001","Albany","1979","15","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1980","16","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1981","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1982","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1983","22","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1984","9","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1985","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1986","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1987","16","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1988","29","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1989","11","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1990","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1991","18","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1992","1","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1993","11","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1994","13","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1995","21","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1996","3","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1997","8","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1998","10","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","1999","20","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2000","3","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2001","14","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2002","30","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2003","12","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2004","7","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2005","30","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2006","14","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2007","20","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2008","11","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2009","7","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2010","25","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2011","12","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2012","21","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2013","24","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2014","13","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2015","24","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2016","31","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2017","14","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2018","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2019","14","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2020","31","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36001","Albany","2021","24","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36003","Allegany","1979","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36003","Allegany","1980","10","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36003","Allegany","1981","3","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36003","Allegany","1982","2","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36003","Allegany","1983","13","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36003","Allegany","1984","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
