기준년도,시군명,읍면동명,관리번호,설치장소명,소재지도로명주소,소재지지번주소,설치일자,높이(m),펼침지름(m),원단,위도,경도,당해년도운영시작일자,당해년도운영종료일자,관리기관명,관리기관전화번호,데이터기준일자
,수원시,영통2동,영통-35,벽적골사거리(디지털엠파이어 쪽),경기도 수원시 영통구 덕영대로1556번길 16,경기도 수원시 영통구 영통동 980-3번지,2018-07-01,,,,37.2457056,127.0609608,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,영통2동,영통-40,신동사거리(트레이더스 쪽 교통섬),경기도 수원시 영통구 삼성로 2,경기도 수원시 영통구 신동 941번지,2018-07-01,,,,37.2456933,127.0478447,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,영통2동,영통-69,203동 앞쪽,"경기도 수원시 영통구 삼성로 11   (신동, 래미안 영통마크원 2단지)",경기도 수원시 영통구 신동 940번지 래미안영통마크원2단지,2019-07-19,,,,37.2471562,127.0478938,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,세류2동,권선-150,횡단보도 인근,경기도 수원시 권선구 정조로 442-1,경기도 수원시 권선구 세류동 1141-5번지,2021-08-19,,,,37.2488668,127.0129346,,,경기도 수원시 권선구청 건설과,031-228-6487,2022-04-12
,수원시,세류2동,권선-151,공군 입구 횡단보도 부근,,경기도 수원시 권선구 세류동 1145-3,2021-08-19,,,,37.2449325,127.0142616,,,경기도 수원시 권선구청 건설과,031-228-6487,2022-04-12
,수원시,세류2동,권선-153,횡단보도 부근,경기도 수원시 권선구 정조로388번길 3,경기도 수원시 권선구 세류동 1146-12번지,2021-08-19,,,,37.2441831,127.0147451,,,경기도 수원시 권선구청 건설과,031-228-6487,2022-04-12
,수원시,세류3동,권선-48,정조사거리(성원아파트 쪽),경기도 수원시 권선구 권선로 575   (세류동),경기도 수원시 권선구 세류동 145-13,2019-07-19,,,,37.2627639,127.0145804,,,경기도 수원시 권선구청 건설과,031-228-6487,2022-04-12
,수원시,세류3동,권선-80,세권사거리(파크랜드 앞),경기도 수원시 권선구 세권로 158,경기도 수원시 권선구 세류동 1078번지,2019-07-19,,,,37.2561984,127.0215859,,,경기도 수원시 권선구청 건설과,031-228-6487,2022-04-12
,수원시,세류3동,권선-108,정조사거리 북서방향,,경기도 수원시 권선구 세류동 147-1,2021-06-17,,,,37.2627803,127.0141787,,,경기도 수원시 권선구청 건설과,031-228-6487,2022-04-12
,수원시,세류3동,권선-109,정조사거리 남서방향,,경기도 수원시 권선구 세류동 147-53,2021-06-17,,,,37.2624465,127.0140144,,,경기도 수원시 권선구청 건설과,031-228-6487,2022-04-12
,수원시,세류3동,권선-110,산제당사거리 남서방향,,경기도 수원시 권선구 세류동 815-4,2021-06-17,,,,37.2611726,127.0188614,,,경기도 수원시 권선구청 건설과,031-228-6487,2022-04-12
,수원시,세류3동,권선-154,유천사거리 남동방향,"경기도 수원시 권선구 세권로 76   (세류동, 경일아파트)",경기도 수원시 권선구 세류동 526번지 경일아파트,2021-08-19,,,,37.2586332,127.0123182,,,경기도 수원시 권선구청 건설과,031-228-6487,2022-04-12
,수원시,망포2동,영통-105,망포초 앞 사거리(아이파크캐슬 103동 쪽),"경기도 수원시 영통구 덕영대로 1410   (망포동, 영통아이파크캐슬1단지)",경기도 수원시 영통구 망포동 766번지 영통아이파크캐슬1단지,2019-07-19,,,,37.2413946,127.0461575,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,망포2동,영통-115,망포초등학교 앞,,경기도 수원시 영통구 망포동 740,2020-05-14,,,,37.2410726,127.0481316,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,망포2동,영통-116,현대힐스테이트 앞,,경기도 수원시 영통구 망포동 740,2020-05-14,,,,37.2414699,127.0484202,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,망포2동,영통-119,영통아이파크캐슬 1단지아파트 앞,,경기도 수원시 영통구 망포동 92-46,2020-05-14,,,,37.2415466,127.0431768,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,망포2동,영통-120,영통아이파크캐슬 2단지아파트 앞,,경기도 수원시 영통구 망포동 92-46,2020-05-14,,,,37.2415443,127.0425788,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,망포2동,영통-121,태장초교사거리(한우리약국 앞),경기도 수원시 영통구 영통로 151,경기도 수원시 영통구 망포동 399-4번지,2020-05-14,,,,37.2411718,127.0552327,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,망포2동,영통-123,영통아이파크캐슬2단지 210동 앞,,경기도 수원시 영통구 망포동 759,2021-06-15,,,,37.2445782,127.0436468,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,망포2동,영통-126,방죽공원 앞,,경기도 수원시 영통구 망포동 734,2020-07-08,,,,37.2452687,127.0508412,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,망포2동,영통-142,망포초등학교 부근(망포글빛도서관 앞),,경기도 수원시 영통구 망포동 767,2021-10-07,,,,37.2410807,127.045985,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,광교1동,영통-46,광교고사거리 (광교고 방향),경기도 수원시 영통구 도청로89번길 11,경기도 수원시 영통구 이의동 1346번지,2018-05-01,,,,37.2905006,127.0486248,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,광교1동,영통-49,광교중앙로사거리 (자연앤자이 방향),"경기도 수원시 영통구 도청로17번길 23   (이의동, 자연앤자이)",경기도 수원시 영통구 이의동 1339번지 자연앤자이,2018-05-01,,,,37.2850588,127.0558629,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,광교1동,영통-50,웰빙타운사거리(e편한세상2차 쪽),"경기도 수원시 영통구 웰빙타운로 50   (이의동, 광교2차 e편한세상)",경기도 수원시 영통구 이의동 1200번지 광교2차e편한세상,2018-05-01,,,,37.3055002,127.0473616,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,광교1동,영통-52,광교초교사거리(동남쪽),,경기도 수원시 영통구 이의동 1210-1,2018-07-01,,,,37.3040005,127.0475858,,,경기도 수원시 영통구청 건설과,031-228-8461,2022-04-12
,수원시,금곡동,권선-56,금곡로원형교차로(모아미래도1단지상가건너편),경기도 수원시 권선구 금곡로 96-1,경기도 수원시 권선구 금곡동 1081-1번지,2019-07-19,,,,37.2740229,126.9387289,,,경기도 수원시 권선구청 건설과,031-228-6487,2022-04-12
,수원시,금곡동,권선-71,서수원홈플러스 앞 사거리(서수원홈플러스 쪽),경기도 수원시 권선구 금곡로 236,경기도 수원시 권선구 금곡동 1116번지,2019-07-19,,,,37.2749081,126.956457,,,경기도 수원시 권선구청 건설과,031-228-6487,2022-04-12
,수원시,금곡동,권선-81,금곡동 딜라이트타워 앞 사거리(해피라움 상가 앞),경기도 수원시 권선구 금곡로 205,경기도 수원시 권선구 금곡동 1113-4번지,2019-07-19,,,,37.274309,126.9533558,,,경기도 수원시 권선구청 건설과,031-228-6487,2022-04-12
,수원시,금곡동,권선-82,금곡동 딜라이트타워 앞 사거리(세종타운 상가 앞),경기도 수원시 권선구 금곡로 204,경기도 수원시 권선구 금곡동 1118-1번지,2019-07-19,,,,37.2739303,126.953592,,,경기도 수원시 권선구청 건설과,031-228-6487,2022-04-12
